Event;Taxa;GROUP;URL ref;Biom C/ind [µg/#];µ C per/ind [mg/#/h];µ C per C biom [mg/mg/h];Reference;URL source;g_C_d;g_C_ind
Zooplankton_GROWTHEXP;Helicostomella subulata;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=240437;0.00294;5.83E-08;0.0198;Hansen et al., 1997;doi:10.1594/PANGAEA.834422;1.40E-09;2.94E-09
Zooplankton_GROWTHEXP;Lohmaniella spiralis;CIliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=101210;0.021;1.26E-06;0.0599;Hansen et al., 1997;doi:10.1594/PANGAEA.834422;3.02E-08;2.10E-08
Zooplankton_GROWTHEXP;Pseudobalanion planctonicum;Ciliate;NA;0.000202;8.86E-09;0.0439;Hansen et al., 1997;doi:10.1594/PANGAEA.834422;2.13E-10;2.02E-10
Zooplankton_GROWTHEXP;Strobilidium cf. spiralis;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=101236;0.00371;1.33E-07;0.0359;Hansen et al., 1997;doi:10.1594/PANGAEA.834422;3.19E-09;3.71E-09
Zooplankton_GROWTHEXP;Strobilidium reticulata;Ciliate;NA;0.0056;2.75E-07;0.049;Hansen et al., 1997;doi:10.1594/PANGAEA.834422;6.60E-09;5.60E-09
Zooplankton_GROWTHEXP;Strombidium sulcatum;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=101335;0.00091;6.53E-08;0.0717;Hansen et al., 1997;doi:10.1594/PANGAEA.834422;1.57E-09;9.10E-10
Zooplankton_GROWTHEXP;Tintinnopsis cf. acuminata;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=163915;0.000994;4.28E-08;0.043;Hansen et al., 1997;doi:10.1594/PANGAEA.834422;1.03E-09;9.94E-10
Zooplankton_GROWTHEXP;Tintinnopsis cf. acuminata;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=163915;0.00113;4.25E-08;0.0375;Hansen et al., 1997;doi:10.1594/PANGAEA.834422;1.02E-09;1.13E-09
Zooplankton_GROWTHEXP;Tintinnopsis dadayi;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=417147;0.0158;5.48E-07;0.0347;Hansen et al., 1997;doi:10.1594/PANGAEA.834422;1.32E-08;1.58E-08
Zooplankton_GROWTHEXP;Tintinnopsis vasculus;Ciliate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=163920;0.00966;4.83E-07;0.05;Hansen et al., 1997;doi:10.1594/PANGAEA.834422;1.16E-08;9.66E-09
