Event;Taxa;GROUP;URL ref;Biom C/ind [µg/#];µ C per/ind [mg/#/h];µ C per C biom [mg/mg/h];Reference;URL source;g_C_d;g_C_ind
P_bachei_GROWTHEXP-2;Pleurobrachia bachei;Comb jelly (not in model);http://www.marinespecies.org/aphia.php?p=taxdetails&id=265191;0.1;2.61E-06;0.0261;Reeve, 1976;doi:10.1594/PANGAEA.834560;6.26E-08;1.00E-07
P_bachei_GROWTHEXP-2;Pleurobrachia bachei;Comb jelly (not in model);http://www.marinespecies.org/aphia.php?p=taxdetails&id=265191;4.1;9.24E-05;0.0225;Reeve, 1976;doi:10.1594/PANGAEA.834560;2.22E-06;4.10E-06
P_bachei_GROWTHEXP-2;Pleurobrachia bachei;Comb jelly (not in model);http://www.marinespecies.org/aphia.php?p=taxdetails&id=265191;63;0.00132;0.021;Reeve, 1976;doi:10.1594/PANGAEA.834560;3.17E-05;6.30E-05
P_bachei_GROWTHEXP-2;Pleurobrachia bachei;Comb jelly (not in model);http://www.marinespecies.org/aphia.php?p=taxdetails&id=265191;209;0.000856;0.0041;Reeve, 1976;doi:10.1594/PANGAEA.834560;2.05E-05;0.000209
P_bachei_GROWTHEXP-2;Pleurobrachia bachei;Comb jelly (not in model);http://www.marinespecies.org/aphia.php?p=taxdetails&id=265191;364;0.00149;0.0041;Reeve, 1976;doi:10.1594/PANGAEA.834560;3.58E-05;0.000364
P_elongatus_GROWTHEXP;Pseudocalanus elongatus;Omnivorous copepod;http://www.marinespecies.org/aphia.php?p=taxdetails&id=104515;0.2;1.94E-06;0.0097;Paffenhöfer & Harris, 1976;doi:10.1594/PANGAEA.834500;4.66E-08;2.00E-07
P_elongatus_GROWTHEXP;Pseudocalanus elongatus;Omnivorous copepod;http://www.marinespecies.org/aphia.php?p=taxdetails&id=104515;0.48;9.83E-06;0.0205;Paffenhöfer & Harris, 1976;doi:10.1594/PANGAEA.834500;2.36E-07;4.80E-07
P_elongatus_GROWTHEXP;Pseudocalanus elongatus;Omnivorous copepod;http://www.marinespecies.org/aphia.php?p=taxdetails&id=104515;4;4.10E-05;0.0102;Paffenhöfer & Harris, 1976;doi:10.1594/PANGAEA.834500;9.84E-07;4.00E-06
P_ferrugineus_GROWTHEXP;Pleuronectes ferrugineus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=305717;1190000;1.73;0.00145;Purchase et al., 2000;doi:10.1594/PANGAEA.834508;0.04152;1.19
P_ferrugineus_GROWTHEXP;Pleuronectes ferrugineus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=305717;1750000;2.64;0.00151;Purchase et al., 2000;doi:10.1594/PANGAEA.834508;0.06336;1.75
P_huberi_GROWTHEXP;Protoperidinium huberi;Flagellate;http://www.marinespecies.org/aphia.php?p=taxdetails&id=233267;0.0055;8.21E-08;0.0149;Buskey et al., 1994;doi:10.1594/PANGAEA.834277;1.97E-09;5.50E-09
P_marinus_GROWTHEXP;Pseudodiaptomus marinus;Omnivorous copepod;http://www.marinespecies.org/aphia.php?p=taxdetails&id=360352;0.136;7.82E-07;0.00575;Uye et al., 1983;doi:10.1594/PANGAEA.834598;1.88E-08;1.36E-07
P_marinus_GROWTHEXP;Pseudodiaptomus marinus;Omnivorous copepod;http://www.marinespecies.org/aphia.php?p=taxdetails&id=360352;1.35;1.19E-05;0.00884;Uye et al., 1983;doi:10.1594/PANGAEA.834598;2.86E-07;1.35E-06
P_pileus_GROWTHEXP;Pleurobrachia pileus;Comb jelly (not in model);http://www.marinespecies.org/aphia.php?p=taxdetails&id=106386;340;0.000992;0.00292;Martinez, 2007;doi:10.1594/PANGAEA.834483;2.38E-05;0.00034
Paracalanus_GROWTHEXP;Paracalanus sp.;Omnivorous copepod;http://www.marinespecies.org/aphia.php?p=taxdetails&id=104196;0.046;3.58E-07;0.00777;Uye, 1988;doi:10.1594/PANGAEA.834599;8.59E-09;4.60E-08
Paracalanus_GROWTHEXP;Paracalanus sp.;Omnivorous copepod;http://www.marinespecies.org/aphia.php?p=taxdetails&id=104196;0.046;3.60E-07;0.00783;Uye, 1988;doi:10.1594/PANGAEA.834599;8.64E-09;4.60E-08
Paracalanus_GROWTHEXP;Paracalanus sp.;Omnivorous copepod;http://www.marinespecies.org/aphia.php?p=taxdetails&id=104196;0.046;3.53E-07;0.00767;Uye, 1988;doi:10.1594/PANGAEA.834599;8.47E-09;4.60E-08
Paracalanus_GROWTHEXP;Paracalanus sp.;Omnivorous copepod;http://www.marinespecies.org/aphia.php?p=taxdetails&id=104196;0.046;3.33E-07;0.00725;Uye, 1988;doi:10.1594/PANGAEA.834599;7.99E-09;4.60E-08
Paracalanus_GROWTHEXP;Paracalanus sp.;Omnivorous copepod;http://www.marinespecies.org/aphia.php?p=taxdetails&id=104196;0.046;3.07E-07;0.00667;Uye, 1988;doi:10.1594/PANGAEA.834599;7.37E-09;4.60E-08
Paracalanus_GROWTHEXP;Paracalanus sp.;Omnivorous copepod;http://www.marinespecies.org/aphia.php?p=taxdetails&id=104196;0.632;1.02E-05;0.0162;Uye, 1988;doi:10.1594/PANGAEA.834599;2.45E-07;6.32E-07
Paracalanus_GROWTHEXP;Paracalanus sp.;Omnivorous copepod;http://www.marinespecies.org/aphia.php?p=taxdetails&id=104196;0.632;1.04E-05;0.0165;Uye, 1988;doi:10.1594/PANGAEA.834599;2.50E-07;6.32E-07
Paracalanus_GROWTHEXP;Paracalanus sp.;Omnivorous copepod;http://www.marinespecies.org/aphia.php?p=taxdetails&id=104196;0.632;1.02E-05;0.0162;Uye, 1988;doi:10.1594/PANGAEA.834599;2.45E-07;6.32E-07
Paracalanus_GROWTHEXP;Paracalanus sp.;Omnivorous copepod;http://www.marinespecies.org/aphia.php?p=taxdetails&id=104196;0.632;9.73E-06;0.0154;Uye, 1988;doi:10.1594/PANGAEA.834599;2.34E-07;6.32E-07
Paracalanus_GROWTHEXP;Paracalanus sp.;Omnivorous copepod;http://www.marinespecies.org/aphia.php?p=taxdetails&id=104196;0.632;9.02E-06;0.0143;Uye, 1988;doi:10.1594/PANGAEA.834599;2.16E-07;6.32E-07
Pisces_GROWTHEXP-1;Acipenser transmontanus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=238345;106000;0.144;0.00136;Cech et al., 1984;doi:10.1594/PANGAEA.834287;0.003456;0.106
Pisces_GROWTHEXP-1;Acipenser transmontanus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=238345;171000;0.277;0.00162;Cech et al., 1984;doi:10.1594/PANGAEA.834287;0.006648;0.171
Pisces_GROWTHEXP-1;Acipenser transmontanus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=238345;178000;0.177;0.001;Cech et al., 1984;doi:10.1594/PANGAEA.834287;0.004248;0.178
Pisces_GROWTHEXP-1;Morone saxatilis;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=151179;96600;0.156;0.00162;Cech et al., 1984;doi:10.1594/PANGAEA.834287;0.003744;0.0966
Pisces_GROWTHEXP-1;Morone saxatilis;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=151179;123000;0.169;0.00137;Cech et al., 1984;doi:10.1594/PANGAEA.834287;0.004056;0.123
Pisces_GROWTHEXP-1;Morone saxatilis;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=151179;181000;0.217;0.0012;Cech et al., 1984;doi:10.1594/PANGAEA.834287;0.005208;0.181
Pisces_GROWTHEXP-2;Anchoa mitchilli;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=158699;58.9;0.000212;0.00359;Houde, 1978;doi:10.1594/PANGAEA.834445;5.09E-06;5.89E-05
Pisces_GROWTHEXP-2;Achirus lineatus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=279493;36;6.82E-05;0.00189;Houde, 1978;doi:10.1594/PANGAEA.834445;1.64E-06;3.60E-05
Pisces_GROWTHEXP-2;Archosargus rhomboidalis;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=159239;92.5;0.000331;0.00358;Houde, 1978;doi:10.1594/PANGAEA.834445;7.94E-06;9.25E-05
Pisces_GROWTHEXP-3;Anchoa mitchilli;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=158699;4.22;3.89E-05;0.00923;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;9.34E-07;4.22E-06
Pisces_GROWTHEXP-3;Anchoa mitchilli;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=158699;6.76;2.33E-05;0.00345;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;5.59E-07;6.76E-06
Pisces_GROWTHEXP-3;Anchoa mitchilli;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=158699;9.31;4.81E-05;0.00517;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;1.15E-06;9.31E-06
Pisces_GROWTHEXP-3;Anchoa mitchilli;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=158699;19.2;0.000136;0.00709;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;3.26E-06;1.92E-05
Pisces_GROWTHEXP-3;Anchoa mitchilli;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=158699;42.9;0.000161;0.00375;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;3.86E-06;4.29E-05
Pisces_GROWTHEXP-3;Anchoa mitchilli;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=158699;74.5;0.000271;0.00364;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;6.50E-06;7.45E-05
Pisces_GROWTHEXP-3;Anchoa mitchilli;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=158699;136;0.000599;0.00442;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;1.44E-05;0.000136
Pisces_GROWTHEXP-3;Anchoa mitchilli;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=158699;221;0.000472;0.00214;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;1.13E-05;0.000221
Pisces_GROWTHEXP-3;Achirus lineatus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=279493;4.19;1.89E-05;0.00451;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;4.54E-07;4.19E-06
Pisces_GROWTHEXP-3;Achirus lineatus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=279493;6.47;3.22E-05;0.00498;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;7.73E-07;6.47E-06
Pisces_GROWTHEXP-3;Achirus lineatus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=279493;12.3;5.52E-05;0.0045;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;1.32E-06;1.23E-05
Pisces_GROWTHEXP-3;Achirus lineatus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=279493;25.1;8.32E-05;0.00332;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;2.00E-06;2.51E-05
Pisces_GROWTHEXP-3;Achirus lineatus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=279493;49.5;0.000204;0.00412;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;4.90E-06;4.95E-05
Pisces_GROWTHEXP-3;Achirus lineatus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=279493;84.6;0.000146;0.00173;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;3.50E-06;8.46E-05
Pisces_GROWTHEXP-3;Archosargus rhomboidalis;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=159239;6.06;-2.64E-06;-0.000435;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;-6.34E-08;6.06E-06
Pisces_GROWTHEXP-3;Archosargus rhomboidalis;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=159239;7.81;5.65E-05;0.00723;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;1.36E-06;7.81E-06
Pisces_GROWTHEXP-3;Archosargus rhomboidalis;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=159239;12.4;6.51E-05;0.00524;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;1.56E-06;1.24E-05
Pisces_GROWTHEXP-3;Archosargus rhomboidalis;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=159239;21;9.36E-05;0.00445;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;2.25E-06;2.10E-05
Pisces_GROWTHEXP-3;Archosargus rhomboidalis;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=159239;43.7;0.000234;0.00535;Houde & Schekter, 1981;doi:10.1594/PANGAEA.834446;5.62E-06;4.37E-05
Pisces_GROWTHEXP-4;Gadus morhua;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=126436;52.7;0.000123;0.00233;Laurence, 1978;doi:10.1594/PANGAEA.834474;2.95E-06;5.27E-05
Pisces_GROWTHEXP-4;Gadus morhua;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=126436;110;0.000303;0.00275;Laurence, 1978;doi:10.1594/PANGAEA.834474;7.27E-06;0.00011
Pisces_GROWTHEXP-4;Gadus morhua;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=126436;150;0.000396;0.00265;Laurence, 1978;doi:10.1594/PANGAEA.834474;9.50E-06;0.00015
Pisces_GROWTHEXP-4;Melanogrammus aeglefinus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=126437;54.3;0.000112;0.00207;Laurence, 1978;doi:10.1594/PANGAEA.834474;2.69E-06;5.43E-05
Pisces_GROWTHEXP-4;Melanogrammus aeglefinus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=126437;70.2;0.00016;0.00228;Laurence, 1978;doi:10.1594/PANGAEA.834474;3.84E-06;7.02E-05
Pisces_GROWTHEXP-4;Melanogrammus aeglefinus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=126437;134;0.000541;0.00404;Laurence, 1978;doi:10.1594/PANGAEA.834474;1.30E-05;0.000134
Pisces_GROWTHEXP-5;Scophthalmus maximus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127149;8690000;6.81;0.000784;Pichavant et al., 2001;doi:10.1594/PANGAEA.834507;0.16344;8.69
Pisces_GROWTHEXP-5;Scophthalmus maximus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127149;11900000;9.02;0.000755;Pichavant et al., 2001;doi:10.1594/PANGAEA.834507;0.21648;11.9
Pisces_GROWTHEXP-5;Scophthalmus maximus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127149;15500000;7.63;0.000494;Pichavant et al., 2001;doi:10.1594/PANGAEA.834507;0.18312;15.5
Pisces_GROWTHEXP-5;Dicentrarchus labrax;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=126975;7250000;1.64;0.000227;Pichavant et al., 2001;doi:10.1594/PANGAEA.834507;0.03936;7.25
Pisces_GROWTHEXP-5;Dicentrarchus labrax;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=126975;8350000;1.52;0.000182;Pichavant et al., 2001;doi:10.1594/PANGAEA.834507;0.03648;8.35
Pisces_GROWTHEXP-5;Dicentrarchus labrax;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=126975;9130000;0.701;7.68E-05;Pichavant et al., 2001;doi:10.1594/PANGAEA.834507;0.016824;9.13
S_aurata_GROWTHEXP;Sparus aurata;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=151523;11.5;1.34E-05;0.00117;Tandler & Helps, 1985;doi:10.1594/PANGAEA.834589;3.22E-07;1.15E-05
S_aurata_GROWTHEXP;Sparus aurata;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=151523;37;0.000162;0.00438;Tandler & Helps, 1985;doi:10.1594/PANGAEA.834589;3.89E-06;3.70E-05
S_aurata_GROWTHEXP;Sparus aurata;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=151523;167;0.00046;0.00276;Tandler & Helps, 1985;doi:10.1594/PANGAEA.834589;1.10E-05;0.000167
S_aurata_GROWTHEXP;Sparus aurata;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=151523;656;0.00243;0.00371;Tandler & Helps, 1985;doi:10.1594/PANGAEA.834589;5.83E-05;0.000656
S_aurata_GROWTHEXP;Sparus aurata;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=151523;2190;0.00437;0.00199;Tandler & Helps, 1985;doi:10.1594/PANGAEA.834589;0.00010488;0.00219
S_hispida_GROWTHEXP;Sagitta hispida;Chaetognath;http://www.marinespecies.org/aphia.php?p=taxdetails&id=105454;27.8;8.26E-05;0.00297;Reeve, 1970;doi:10.1594/PANGAEA.834509;1.98E-06;2.78E-05
S_hispida_GROWTHEXP;Sagitta hispida;Chaetognath;http://www.marinespecies.org/aphia.php?p=taxdetails&id=105454;13;3.59E-05;0.00276;Reeve, 1970;doi:10.1594/PANGAEA.834509;8.62E-07;1.30E-05
S_hispida_GROWTHEXP;Sagitta hispida;Chaetognath;http://www.marinespecies.org/aphia.php?p=taxdetails&id=105454;36.8;0.000112;0.00303;Reeve, 1970;doi:10.1594/PANGAEA.834509;2.69E-06;3.68E-05
S_hispida_GROWTHEXP;Sagitta hispida;Chaetognath;http://www.marinespecies.org/aphia.php?p=taxdetails&id=105454;38.1;1.02E-06;2.69E-05;Reeve, 1970;doi:10.1594/PANGAEA.834509;2.45E-08;3.81E-05
S_hispida_GROWTHEXP;Sagitta hispida;Chaetognath;http://www.marinespecies.org/aphia.php?p=taxdetails&id=105454;33.5;5.31E-05;0.00158;Reeve, 1970;doi:10.1594/PANGAEA.834509;1.27E-06;3.35E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;11.8;7.12E-05;0.00603;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;1.71E-06;1.18E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;14.7;4.05E-05;0.00276;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;9.72E-07;1.47E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;19;7.11E-05;0.00375;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;1.71E-06;1.90E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;31.3;0.000196;0.00627;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;4.70E-06;3.13E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;76;0.000879;0.0116;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;2.11E-05;7.60E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;252;0.00314;0.0125;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;7.54E-05;0.000252
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;519;0.00107;0.00206;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;2.57E-05;0.000519
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;1380;0.0243;0.0176;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;0.0005832;0.00138
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;7170;0.0739;0.0103;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;0.0017736;0.00717
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;20.3;0;0;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;0;2.03E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;25.4;0.000136;0.00536;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;3.26E-06;2.54E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;59.4;0.000887;0.0149;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;2.13E-05;5.94E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;135;0.000617;0.00459;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;1.48E-05;0.000135
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;265;0.00307;0.0116;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;7.37E-05;0.000265
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;775;0.0109;0.0141;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;0.0002616;0.000775
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;1970;0.0161;0.00816;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;0.0003864;0.00197
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;4050;0.0368;0.00909;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;0.0008832;0.00405
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;23.9;0.000177;0.00743;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;4.25E-06;2.39E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;42.2;0.000309;0.00732;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;7.42E-06;4.22E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;86.9;0.000997;0.0115;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;2.39E-05;8.69E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;162;0.000759;0.00469;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;1.82E-05;0.000162
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;189;-0.00014;-0.000743;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;-3.36E-06;0.000189
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;293;0.00357;0.0122;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;8.57E-05;0.000293
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;519;0.00138;0.00266;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;3.31E-05;0.000519
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;742;0.00491;0.00662;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;0.00011784;0.000742
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;1330;0.0114;0.00855;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;0.0002736;0.00133
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;3220;0.0463;0.0144;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;0.0011112;0.00322
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;7170;0.0457;0.00638;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;0.0010968;0.00717
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;12.8;0.00039;0.0305;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;9.36E-06;1.28E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;24.2;3.62E-05;0.0015;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;8.69E-07;2.42E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;28.5;8.05E-05;0.00282;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;1.93E-06;2.85E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;36.9;0.000286;0.00775;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;6.86E-06;3.69E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;46.8;0.000223;0.00476;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;5.35E-06;4.68E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;53.5;6.09E-05;0.00114;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;1.46E-06;5.35E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;84.2;0.000904;0.0107;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;2.17E-05;8.42E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;148;0.000602;0.00406;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;1.44E-05;0.000148
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;291;0.00396;0.0136;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;9.50E-05;0.000291
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;650;0.00973;0.015;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;0.00023352;0.00065
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;2240;0.0373;0.0167;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;0.0008952;0.00224
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;22.8;7.19E-05;0.00315;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;1.73E-06;2.28E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;31.6;0.000177;0.00562;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;4.25E-06;3.16E-05
S_japonicus_GROWTHEXP;Scomber japonicus;Fish;http://www.marinespecies.org/aphia.php?p=taxdetails&id=127022;50.6;0.000363;0.00717;Hunter & Kimbrell, 1980;doi:10.1594/PANGAEA.834447;8.71E-06;5.06E-05
