"","sst","chlo","tmax","dt","pico_biom","nano_biom","micro_biom","phyto_slope","phyto_int","phyto_max"
"1",0,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"2",1,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"3",2,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"4",3,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"5",4,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"6",5,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"7",6,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"8",7,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"9",8,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"10",9,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"11",10,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"12",11,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"13",12,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"14",13,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"15",14,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
"16",15,0.0316227766016838,1000,0.01,0.0207261112731728,0.00556276219025308,0.00222130921161323,-1.19040911044053,-5.02900385961529,-8.2
